50s,100s,inns,m,r,b,4s,6s,no,hs,sr,a,teamID,playerID
0,0,11,16,114,107,12,3,4,18*,106.54,16.28,1,1
0,0,0,1,0,0,0,0,0,0*,-,-,1,898
4,1,16,16,635,466,64,23,2,101*,136.26,45.35,1,5443
1,0,15,15,357,260,31,19,1,58,137.30,25.50,1,1735
1,0,12,16,227,156,19,9,9,62*,145.51,75.66,1,9
0,0,2,15,1,1,0,0,2,1*,100.00,-,1,140
1,0,11,12,160,128,13,9,2,54,125.00,17.77,1,14
0,0,0,1,0,0,0,0,0,0*,-,-,1,4944
0,0,4,16,5,5,0,0,2,3*,100.00,2.50,1,1745
6,0,16,16,633,458,60,23,2,95*,138.20,45.21,1,24
0,0,3,11,47,18,3,4,2,23,261.11,47.00,1,25
0,0,0,9,0,0,0,0,0,0*,-,-,1,857
0,0,0,3,0,0,0,0,0,0*,-,-,1,3746
2,0,13,16,257,170,16,17,4,72*,151.17,28.55,1,100
0,0,4,9,56,29,5,3,1,34,193.10,18.66,1,2939
1,0,4,4,115,84,8,5,0,63,136.90,28.75,1,127
0,0,3,15,13,6,2,0,2,9*,216.66,13.00,3,1664
0,0,7,10,89,72,11,1,3,27*,123.61,22.25,3,964
0,0,1,2,8,8,1,0,0,8,100.00,8.00,3,135
0,0,1,3,15,11,2,0,1,15*,136.36,-,3,967
0,0,5,13,44,42,2,1,2,20*,104.76,14.66,3,8
0,0,7,8,152,135,13,2,1,39,112.59,25.33,3,271
0,0,5,7,68,73,7,0,3,22*,93.15,34.00,3,6870
0,0,1,16,5,3,1,0,1,5*,166.66,-,3,1561
0,0,6,12,40,46,2,1,1,12,86.95,8.00,3,1113
0,0,8,8,175,171,7,5,3,47*,102.33,35.00,3,1563
3,0,16,16,419,326,42,10,4,58*,128.52,34.91,3,2972
0,0,0,4,0,0,0,0,0,0*,-,-,3,30
0,0,0,3,0,0,0,0,0,0*,-,-,3,38
0,0,2,2,25,27,3,0,1,18,92.59,25.00,3,17191
3,0,16,16,587,471,63,16,1,92,124.62,39.13,3,41
1,0,13,14,242,144,19,12,6,53*,168.05,34.57,3,1705
4,0,15,15,479,301,56,18,0,82,159.13,31.93,3,3764
0,0,0,8,0,0,0,0,0,0*,-,-,3,5433
0,0,0,1,0,0,0,0,0,0*,-,-,3,7803
0,0,2,3,21,17,2,0,1,21,123.52,21.00,3,3646
0,0,5,7,64,58,3,2,5,25*,110.34,-,4,5441
0,0,0,1,0,0,0,0,0,0*,-,-,4,3777
0,0,6,6,146,119,12,4,1,42,122.68,29.20,4,1667
0,0,4,5,31,32,0,1,2,14,96.87,15.50,4,388
0,0,2,3,15,24,2,0,0,15,62.50,7.50,4,3781
0,0,1,1,15,14,2,0,0,15,107.14,15.00,4,72
0,0,2,4,32,21,1,3,0,30,152.38,16.00,4,1299
1,0,11,12,160,123,9,9,1,64,130.08,16.00,4,1556
0,0,1,9,1,4,0,0,0,1,25.00,1.00,4,19351
0,0,1,5,0,0,0,0,1,0*,-,-,4,4055
0,0,2,12,2,3,0,0,2,1*,66.66,-,4,4698
0,0,2,2,0,4,0,0,0,0*,0.00,0.00,4,1564
0,0,0,1,0,0,0,0,0,0*,-,-,4,796
4,0,12,12,441,314,42,18,1,99*,140.44,40.09,4,158
0,0,4,14,13,17,0,0,3,9*,76.47,13.00,4,94
0,0,2,3,18,16,0,1,1,12,112.50,18.00,4,17118
0,0,10,11,153,114,9,10,3,47,134.21,21.85,4,7779
6,0,13,13,626,451,48,30,3,98*,138.80,62.60,4,1125
0,0,11,12,85,76,3,5,0,32,111.84,7.72,4,1703
0,0,3,4,6,12,0,0,2,6,50.00,6.00,4,1707
0,0,10,10,193,154,21,8,1,46,125.32,21.44,4,236
0,0,2,3,15,24,1,0,0,9,62.50,7.50,4,3187
0,0,1,1,26,26,1,1,0,26,100.00,26.00,4,3318
0,0,2,2,19,23,1,1,0,12,82.60,9.50,4,5436
0,0,0,1,0,0,0,0,0,0*,-,-,4,1087
0,0,2,9,25,20,2,2,0,20,125.00,12.50,5,3779
0,0,0,1,0,0,0,0,0,0*,-,-,5,1092
0,0,16,17,133,139,8,6,4,47*,95.68,11.08,5,197
0,0,6,8,47,48,3,1,1,26,97.91,9.40,5,201
