bbiw,bbir,bbmw,bbmr,4w,5w,10w,inns,m,b,r,wb,nb,d,w,4s,6s,maid,wmaid,ht,a,e,sr,o,teamID,playerID
0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,1,1
2,16,2,16,0,0,0,1,1,24,16,2,0,14,2,1,0,0,0,0,8.00,4.00,12.00,4.00,1,898
0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,1,5443
3,7,3,7,0,0,0,10,15,152,161,1,1,50,6,3,8,0,0,0,26.83,6.35,25.33,25.33,1,1735
3,13,3,13,0,0,0,16,16,294,346,4,2,104,13,20,14,1,1,0,26.61,7.06,22.61,49.00,1,9
4,13,4,13,2,0,0,15,15,324,451,15,0,132,14,56,13,1,1,0,32.21,8.35,23.14,54.00,1,140
0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,1,14
1,18,1,18,0,0,0,1,1,13,18,0,1,2,1,1,0,0,0,0,18.00,8.30,13.00,2.16,1,4944
3,28,3,28,0,0,0,16,16,359,527,27,2,137,21,51,17,1,1,0,25.09,8.80,17.09,59.83,1,1745
0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,1,24
3,24,3,24,0,0,0,11,11,202,263,19,0,73,14,15,11,0,0,0,18.78,7.81,14.42,33.66,1,25
3,24,3,24,0,0,0,9,9,210,293,5,0,87,11,29,13,0,0,0,26.63,8.37,19.09,35.00,1,857
3,28,3,28,0,0,0,3,3,72,125,3,0,25,5,10,8,0,0,0,25.00,10.41,14.40,12.00,1,3746
0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,1,100
3,34,3,34,0,0,0,9,9,198,328,9,2,76,9,27,20,0,0,0,36.44,9.93,22.00,33.00,1,2939
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,1,127
3,36,3,36,0,0,0,15,15,336,456,7,3,135,15,32,24,1,1,0,30.40,8.14,22.40,56.00,3,1664
1,7,1,7,0,0,0,8,10,67,117,1,1,17,2,9,6,0,0,0,58.50,10.47,33.50,11.16,3,964
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,3,135
2,18,2,18,0,0,0,3,3,66,82,0,1,33,5,10,3,0,0,0,16.40,7.45,13.20,11.00,3,967
