c,ro,s,inns,m,teamID,playerID
13,1,0,9,16,1,1
0,1,0,1,1,1,898
6,0,0,6,16,1,5443
7,0,0,5,15,1,1735
13,2,0,8,16,1,9
5,2,0,5,15,1,140
7,0,0,3,12,1,14
0,0,0,0,1,1,4944
2,1,0,3,16,1,1745
12,0,0,11,16,1,24
2,1,0,3,11,1,25
1,0,0,1,9,1,857
1,0,0,1,3,1,3746
2,1,0,3,16,1,100
1,1,0,2,9,1,2939
0,0,0,0,4,1,127
9,2,0,9,15,3,1664
2,0,0,2,10,3,964
0,0,0,0,2,3,135
0,1,0,1,3,3,967
3,0,0,2,13,3,8
9,0,0,6,8,3,271
5,0,0,4,7,3,6870
1,0,0,1,16,3,1561
4,1,0,5,12,3,1113
6,1,0,4,8,3,1563
10,4,3,9,16,3,2972
0,0,0,0,4,3,30
0,0,0,0,3,3,38
0,0,0,0,2,3,17191
9,0,0,5,16,3,41
4,1,0,4,14,3,1705
1,0,0,1,15,3,3764
1,0,0,1,8,3,5433
0,0,0,0,1,3,7803
0,0,0,0,3,3,3646
2,0,0,2,7,4,5441
0,0,0,0,1,4,3777
3,0,0,1,6,4,1667
1,0,0,1,5,4,388
1,0,0,1,3,4,3781
1,0,0,1,1,4,72
0,0,0,0,4,4,1299
7,0,0,5,12,4,1556
2,1,0,3,9,4,19351
0,0,0,0,5,4,4055
4,2,0,5,12,4,4698
2,1,0,1,2,4,1564
0,0,0,0,1,4,796
5,0,0,4,12,4,158
1,1,0,2,14,4,94
0,0,0,0,3,4,17118
4,0,0,3,11,4,7779
11,1,0,10,13,4,1125
3,0,0,3,12,4,1703
2,0,0,2,4,4,1707
3,0,0,3,10,4,236
0,0,0,0,3,4,3187
1,0,0,1,1,4,3318
0,0,0,0,2,4,5436
0,0,0,0,1,4,1087
5,1,0,4,9,5,3779
0,0,0,0,1,5,1092
9,1,0,7,17,5,197
3,2,0,4,8,5,201
2,0,0,2,14,5,203
3,2,0,4,8,5,3729
0,0,0,0,1,5,1619
7,1,0,7,10,5,8540
5,4,2,10,17,5,102
1,0,0,1,3,5,103
2,0,0,2,7,5,488
2,0,0,2,10,5,177
3,0,0,2,10,5,5105
6,0,0,5,17,5,3761
4,0,0,4,17,5,2738
2,0,0,2,3,5,307
0,0,0,0,1,5,3766
1,2,0,2,17,5,5432
8,1,0,8,17,5,3838
4,0,2,4,11,6,834
2,0,0,1,5,6,840
5,0,0,5,14,6,969
0,0,0,0,3,6,971
2,0,0,2,5,6,1740
0,0,0,0,1,6,76
6,1,0,6,14,6,210
0,0,0,0,1,6,2965
3,1,0,1,10,6,2975
1,0,0,1,5,6,163
4,1,0,5,14,6,1124
0,0,0,0,1,6,101
1,0,0,1,13,6,107
5,0,0,4,14,6,108
1,0,0,1,2,6,17068
6,1,0,5,13,6,3183
2,0,0,2,4,6,434
2,0,0,1,1,6,179
3,0,0,3,11,6,3763
4,2,0,5,12,6,2740
0,0,0,0,1,8,12480
1,0,0,1,1,8,1154
7,3,4,8,14,8,258
4,1,0,4,11,8,836
1,0,0,1,4,8,10059
1,0,0,1,3,8,3027
0,0,0,0,3,8,1748
2,0,0,2,14,8,1749
1,0,0,1,6,8,86
0,0,0,0,1,8,4951
0,0,0,0,4,8,2970
6,2,0,5,11,8,4445
3,0,0,3,10,8,13538
3,0,0,1,2,8,10788
0,0,0,0,5,8,872
0,0,0,0,1,8,12585
0,0,0,0,1,8,3309
4,0,0,4,14,8,11062
2,0,0,2,9,8,5431
1,2,0,2,14,8,1594
4,1,0,4,9,8,187
3,0,0,3,5,8,3644
3,1,0,4,7,8,509
0,0,0,0,4,8,1085
4,1,0,5,15,9,3840
0,0,0,0,2,9,3082
2,0,0,1,9,9,1616
5,0,0,4,15,9,282
0,0,0,0,1,9,1115
2,0,0,1,6,9,2973
3,1,0,3,15,9,157
1,0,0,1,1,9,798
1,0,0,1,4,9,5471
8,2,0,8,15,9,164
15,2,0,10,15,9,233
0,0,0,0,2,9,4649
4,0,0,3,11,9,13803
0,0,0,0,1,9,4524
4,0,1,3,8,9,2734
4,1,0,3,15,9,111
1,0,0,1,2,9,3824
9,0,0,6,9,9,181
7,0,0,5,14,9,5430
1,0,0,1,5,9,2942
2,0,0,2,14,62,2885
6,0,0,5,9,62,16
0,1,0,1,7,62,2964
8,0,0,6,11,62,19352
1,0,0,1,7,62,1112
0,0,0,0,1,62,4572
2,0,0,2,6,62,297
2,1,0,2,8,62,170
5,0,0,1,3,62,618
2,0,0,2,8,62,3760
3,0,0,2,5,62,1906
0,0,0,0,3,62,15154
2,0,0,2,8,62,1075
0,0,0,0,11,62,116
1,1,0,1,2,62,2741
2,0,0,1,3,62,6966
0,0,0,0,2,62,3831
7,1,0,6,10,62,440
1,0,0,1,1,62,57
2,1,1,2,7,62,506
5,0,0,3,8,62,123
3,1,0,4,7,62,1083
1,0,0,1,8,62,1086
0,0,0,0,5,62,3775
