id,fullName,shortName,nationality,dateOfBirth,rightArmedBowl,rightHandedBat,bowlingStyle,teamID
1,MS Dhoni,MS Dhoni,Indian,1981-07-07,True,True,MEDIUM_SEAM,1
7105,Bhagath Varma,B Varma,Indian,1998-09-21,True,True,OFF_SPIN,1
898,Imran Tahir,I Tahir,South African,1979-03-27,True,True,LEG_SPIN,1
9474,Harishankar Reddy,H Reddy,Indian,1998-06-02,True,True,FAST_SEAM,1
5443,Ruturaj Gaikwad,R Gaikwad,Indian,1997-01-31,True,True,OFF_SPIN,1
1735,Moeen Ali,M Ali,English,1987-06-18,True,False,OFF_SPIN,1
7111,C Hari Nishaanth,C Hari Nishaanth,Indian,1996-08-16,True,False,OFF_SPIN,1
9,Ravindra Jadeja,R Jadeja,Indian,1988-12-06,False,False,ORTHODOX,1
140,Deepak Chahar,D Chahar,Indian,1992-08-07,True,True,MEDIUM_SEAM,1
4942,Narayan Jagadeesan,N Jagadeesan,Indian,1995-12-24,True,True,,1
14,Suresh Raina,S Raina,Indian,1986-11-27,True,False,OFF_SPIN,1
4944,KM Asif,KM Asif,Indian,1993-07-24,True,True,MEDIUM_SEAM,1
1745,Shardul Thakur,S Thakur,Indian,1991-10-16,True,True,MEDIUM_SEAM,1
7123,R Sai Kishore,RS Kishore,Indian,1996-11-06,False,False,ORTHODOX,1
24,Faf du Plessis,F du Plessis,South African,1984-07-13,True,True,LEG_SPIN,1
25,Dwayne Bravo,DJ Bravo,West Indian,1983-10-07,True,True,MEDIUM_SEAM,1
857,Josh Hazlewood,J Hazlewood,Australian,1991-01-08,True,False,FAST_SEAM,1
5145,Dominic Drakes,D Drakes,West Indian,1998-02-06,False,False,MEDIUM_SEAM,1
156,Cheteshwar Pujara,C Pujara,Indian,1988-01-25,True,True,LEG_SPIN,1
1118,Karn Sharma,K Sharma,Indian,1987-10-23,True,False,LEG_SPIN,1
3746,Lungi Ngidi,L Ngidi,South African,1996-03-29,True,True,FAST_SEAM,1
100,Ambati Rayudu,A Rayudu,Indian,1985-09-23,True,True,OFF_SPIN,1
1903,Mitchell Santner,M Santner,New Zealander,1992-02-05,False,False,ORTHODOX,1
3834,Krishnappa Gowtham,K Gowtham,Indian,1988-10-20,True,True,OFF_SPIN,1
2939,Sam Curran,S Curran,English,1998-06-03,False,False,MEDIUM_SEAM,1
127,Robin Uthappa,R Uthappa,Indian,1985-11-11,True,True,,1
1664,Kagiso Rabada,K Rabada,South African,1995-05-25,True,False,FAST_SEAM,3
964,Marcus Stoinis,M Stoinis,Australian,1989-08-16,True,True,MEDIUM_SEAM,3
2756,Sam Billings,S Billings,English,1991-06-15,True,True,,3
1478,Ben Dwarshuis,B Dwarshuis,Australian,1994-06-23,False,False,FAST_SEAM,3
135,Ajinkya Rahane,A Rahane,Indian,1988-06-06,True,True,MEDIUM_SEAM,3
967,Chris Woakes,C Woakes,English,1989-03-02,True,True,FAST_SEAM,3
8,Ravichandran Ashwin,R Ashwin,Indian,1986-09-17,True,True,OFF_SPIN,3
271,Steve Smith,S Smith,Australian,1989-06-02,True,True,LEG_SPIN,3
7119,M Siddharth,M Siddharth,Indian,1998-07-03,False,True,ORTHODOX,3
4305,Vishnu Vinod,V Vinod,Indian,1993-12-02,True,True,,3
6870,Lalit Yadav,L Yadav,Indian,1997-01-03,True,True,OFF_SPIN,3
1561,Avesh Khan,A Khan,Indian,1996-12-13,True,True,FAST_SEAM,3
1113,Axar Patel,A Patel,Indian,1994-01-20,False,False,ORTHODOX,3
1563,Shreyas Iyer,S Iyer,Indian,1994-12-06,True,True,LEG_SPIN,3
2972,Rishabh Pant,R Pant,Indian,1997-10-04,False,False,,3
30,Amit Mishra,A Mishra,Indian,1982-11-24,True,True,LEG_SPIN,3
38,Ishant Sharma,I Sharma,Indian,1988-09-02,True,True,FAST_SEAM,3
17191,Ripal Patel,R Patel,Indian,1995-09-28,True,True,FAST_SEAM,3
41,Shikhar Dhawan,S Dhawan,Indian,1985-12-05,True,False,OFF_SPIN,3
1705,Shimron Hetmyer,S Hetmyer,West Indian,1996-12-26,False,False,,3
3188,Pravin Dubey,P Dubey,Indian,1993-07-01,True,True,LEG_SPIN,3
3764,Prithvi Shaw,P Shaw,Indian,1999-11-09,True,True,OFF_SPIN,3
5433,Anrich Nortje,A Nortje,South African,1993-11-16,True,True,FAST_SEAM,3
59,Umesh Yadav,U Yadav,Indian,1987-10-25,True,True,FAST_SEAM,3
7803,Lukman Meriwala,L Meriwala,Indian,1991-12-11,False,False,FAST_SEAM,3
3835,Kulwant Khejroliya,K Khejroliya,Indian,1995-03-02,False,False,FAST_SEAM,3
3646,Tom Curran,T Curran,English,1995-03-12,True,True,FAST_SEAM,3
5441,Harpreet Brar,H Brar,Indian,1995-09-16,False,False,ORTHODOX,4
3777,Ishan Porel,I Porel,Indian,1998-09-05,True,True,MEDIUM_SEAM,4
3841,Utkarsh Singh,U Singh,Indian,1998-05-07,True,True,OFF_SPIN,4
